"Markettype","Trdwnt","Cwretmdos"
"15","2000-14","0.036215"
"21","2000-14","0.035928"
"31","2000-14","0.036215"
"37","2000-14","0.035928"
"47","2000-14","0.036215"
"53","2000-14","0.035928"
"63","2000-14","0.036215"
"69","2000-14","0.035928"
"79","2000-14","0.036215"
"85","2000-14","0.035928"
"95","2000-14","0.036215"
"101","2000-14","0.035928"
"111","2000-14","0.036215"
"117","2000-14","0.035928"
"127","2000-14","0.036215"
"33","2000-14","0.036784"
"20","2000-14","0.035067"
"5","2000-15","0.010386"
"10","2000-15","-0.000962"
"15","2000-15","0.010089"
"21","2000-15","0.010386"
"31","2000-15","0.010089"
"37","2000-15","0.010386"
"47","2000-15","0.010089"
"53","2000-15","0.010386"
"63","2000-15","0.010089"
"69","2000-15","0.010386"
"79","2000-15","0.010089"
"85","2000-15","0.010386"
"95","2000-15","0.010089"
"101","2000-15","0.010386"
"111","2000-15","0.010089"
"117","2000-15","0.010386"
"127","2000-15","0.010089"
"33","2000-15","0.009934"
"20","2000-15","0.010842"
"5","2000-16","0.003343"
"10","2000-16","0.001306"
"15","2000-16","0.003290"
"21","2000-16","0.003343"
"31","2000-16","0.003290"
"37","2000-16","0.003343"
"47","2000-16","0.003290"
"53","2000-16","0.003343"
"63","2000-16","0.003290"
"69","2000-16","0.003343"
"79","2000-16","0.003290"
"85","2000-16","0.003343"
"95","2000-16","0.003290"
"101","2000-16","0.003343"
"111","2000-16","0.003290"
"117","2000-16","0.003343"
"127","2000-16","0.003290"
"33","2000-16","0.002799"
"20","2000-16","0.003894"
"5","2000-17","-0.001667"
"10","2000-17","-0.011008"
"15","2000-17","-0.001906"
"21","2000-17","-0.001667"
"31","2000-17","-0.001906"
"37","2000-17","-0.001667"
"47","2000-17","-0.001906"
"53","2000-17","-0.001667"
"63","2000-17","-0.001906"
"69","2000-17","-0.001667"
"79","2000-17","-0.001906"
"85","2000-17","-0.001667"
"95","2000-17","-0.001906"
"101","2000-17","-0.001667"
"111","2000-17","-0.001906"
"117","2000-17","-0.001667"
"127","2000-17","-0.001906"
"33","2000-17","0.003289"
"20","2000-17","-0.006680"
"5","2000-18","0.001228"
"10","2000-18","-0.001180"
"15","2000-18","0.001167"
"21","2000-18","0.001228"
"31","2000-18","0.001167"
"37","2000-18","0.001228"
"47","2000-18","0.001167"
"53","2000-18","0.001228"
"63","2000-18","0.001167"
"69","2000-18","0.001228"
"79","2000-18","0.001167"
"85","2000-18","0.001228"
"95","2000-18","0.001167"
"101","2000-18","0.001228"
"111","2000-18","0.001167"
"117","2000-18","0.001228"
"127","2000-18","0.001167"
"33","2000-18","-0.001540"
"20","2000-18","0.004048"
"5","2000-20","-0.064545"
"10","2000-20","-0.051774"
"15","2000-20","-0.064228"
"21","2000-20","-0.064545"
"31","2000-20","-0.064228"
"37","2000-20","-0.064545"
"47","2000-20","-0.064228"
"53","2000-20","-0.064545"
"63","2000-20","-0.064228"
"69","2000-20","-0.064545"
"79","2000-20","-0.064228"
"85","2000-20","-0.064545"
"95","2000-20","-0.064228"
"101","2000-20","-0.064545"
"111","2000-20","-0.064228"
"117","2000-20","-0.064545"
"127","2000-20","-0.064228"
"33","2000-20","-0.064340"
"20","2000-20","-0.064754"
"5","2000-21","0.035959"
"10","2000-21","0.038859"
"15","2000-21","0.036031"
"21","2000-21","0.035959"
"31","2000-21","0.036031"
"37","2000-21","0.035959"
"47","2000-21","0.036031"
"53","2000-21","0.035959"
"63","2000-21","0.036031"
"69","2000-21","0.035959"
"79","2000-21","0.036031"
"85","2000-21","0.035959"
"95","2000-21","0.036031"
"101","2000-21","0.035959"
"111","2000-21","0.036031"
"117","2000-21","0.035959"
"127","2000-21","0.036031"
"33","2000-21","0.036079"
"20","2000-21","0.035838"
"5","2000-22","0.054628"
"10","2000-22","0.095841"
"15","2000-22","0.055656"
"21","2000-22","0.054628"
"31","2000-22","0.055656"
"37","2000-22","0.054628"
"47","2000-22","0.055656"
"53","2000-22","0.054628"
"63","2000-22","0.055656"
"69","2000-22","0.054628"
"79","2000-22","0.055656"
"85","2000-22","0.054628"
"95","2000-22","0.055656"
"101","2000-22","0.054628"
"111","2000-22","0.055656"
"117","2000-22","0.054628"
"127","2000-22","0.055656"
"33","2000-22","0.057573"
"20","2000-22","0.051654"
"5","2000-23","0.015812"
"10","2000-23","0.203006"
"15","2000-23","0.020618"
"21","2000-23","0.015812"
"31","2000-23","0.020618"
"37","2000-23","0.015812"
"47","2000-23","0.020618"
"53","2000-23","0.015812"
